Sample,Room_Number,Abundance,location,Room_Type,Time,Kingdom,Phlylum,Class,Order,Family,Genus
W1T0_W,1,0.179295321,Window,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T1_AD,1,0.088809743,AirDuct,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T1_AF,1,0,AirFilter,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T1_P,1,0.488322065,Palm,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T1_SA,1,0,Saliva,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T1_W,1,0.147841442,Window,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T2_AD,1,0.278278031,AirDuct,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T2_W,1,0.033816425,Window,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T3_AD,1,0.245385562,AirDuct,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T3_AF,1,0,AirFilter,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T3_P,1,0.004648846,Palm,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T3_SA,1,0,Saliva,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W1T3_W,1,0.160823416,Window,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T0_AD,3,0.271568627,AirDuct,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T0_W,3,0.263124444,Window,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T1_AD,3,0.191798169,AirDuct,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T1_AF,3,0,AirFilter,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T1_P,3,0.746603713,Palm,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T1_SA,3,0,Saliva,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T1_W,3,0.029219971,Window,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T2_AD,3,0.181746793,AirDuct,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T2_W,3,0,Window,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T3_AD,3,0.38601792,AirDuct,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T3_AF,3,0.00018425,AirFilter,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T3_P,3,0.003483599,Palm,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T3_SA,3,0,Saliva,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W3T3_W,3,0.000169501,Window,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T0_AD,4,0.115143057,AirDuct,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T0_W,4,0.591143041,Window,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T1_AD,4,0.102778461,AirDuct,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T1_AF,4,0,AirFilter,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T1_P,4,0.00075188,Palm,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T1_SA,4,0,Saliva,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T1_W,4,0.020611628,Window,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T2_AD,4,0.268902891,AirDuct,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T2_W,4,0.134915997,Window,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T3_AD,4,0.080549199,AirDuct,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T3_AF,4,0.017206336,AirFilter,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T3_P,4,0.272655008,Palm,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T3_SA,4,0,Saliva,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W4T3_W,4,0.434334075,Window,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T0_AD,5,0.262710836,AirDuct,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T0_W,5,0.590279615,Window,View,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T1_AD,5,0.349208497,AirDuct,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T1_AF,5,0.017344364,AirFilter,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
