PID,Room_Number,Sample,Room_Type,Time,LogC,Copy No.uL
RR3T3,3,Palm,Regular,T3,2.425129464,266.1518346
RR5T1,5,Palm,Regular,T1,3.953853507,8991.942208
RR5T3,5,Palm,Regular,T3,3.779212767,6014.68333
RR6T1,6,Palm,Regular,T1,4.28171612,19130.05067
RR6T3,6,Palm,Regular,T3,4.203795645,15988.0554
WR1T1,1,Palm,View,T1,3.623007032,4197.657807
WR1T3,1,Palm,View,T3,3.340344802,2189.499256
WR3T1,3,Palm,View,T1,4.131512722,13536.69744
WR3T3,3,Palm,View,T3,5.398318418,250217.9249
WR4T1,4,Palm,View,T1,2.203061056,159.6103523
WR4T3,4,Palm,View,T3,5.174328738,149392.4805
WR5T1,5,Palm,View,T1,5.191057861,155259.3849
WR5T3,5,Palm,View,T3,2.750787766,563.3622813
WR6T1,6,Palm,View,T1,6.37601122,2376901.69
WR6T3,6,Palm,View,T3,4.8635331,73035.34746
RR1T1,1,Saliva,Regular,T1,8.311838496,205039953.9
RR1T3,1,Saliva,Regular,T3,7.441391439,27630671.45
RR2T1,2,Saliva,Regular,T1,8.221136951,166393727.8
RR2T3,2,Saliva,Regular,T3,7.919613365,83102361.56
RR3T1,3,Saliva,Regular,T1,8.081782674,120720958.1
RR3T3,3,Saliva,Regular,T3,8.457771029,286926743.2
RR4T1,4,Saliva,Regular,T1,8.656059562,452959697.5
RR4T3,4,Saliva,Regular,T3,9.501659529,3174384494
RR5T1,5,Saliva,Regular,T1,8.800906287,632275403.4
RR5T3,5,Saliva,Regular,T3,8.781513742,604663484.1
WR1T1,1,Saliva,View,T1,6.069070765,1172386.383
WR1T3,1,Saliva,View,T3,7.388945116,24487537.6
WR3T1,3,Saliva,View,T1,8.785557834,610320325.8
WR3T3,3,Saliva,View,T3,8.702648759,504253311.9
WR4T1,4,Saliva,View,T1,6.33953195,2185405.09
WR4T3,4,Saliva,View,T3,7.800222318,63128041.78
WR5T1,5,Saliva,View,T1,7.403449732,25319185.58
WR5T3,5,Saliva,View,T3,7.580337545,38048500.43
WR6T1,6,Saliva,View,T1,7.500577157,31664829.71
WR6T3,6,Saliva,View,T3,7.677952109,47637845.18
