Day,Time,Condition,Envir,Reading,PID
T1,16:45:00,View,co2,452.6,WR4
T1,17:00:00,View,co2,458.9,WR4
T1,17:15:00,View,co2,451.9,WR4
T1,17:30:00,View,co2,457.1,WR4
T1,17:45:00,View,co2,456.3,WR4
T1,18:00:00,View,co2,474.9,WR4
T1,18:15:00,View,co2,468.6,WR4
T1,18:30:00,View,co2,460.6,WR4
T1,18:45:00,View,co2,470.3,WR4
T1,19:00:00,View,co2,467.6,WR4
T1,19:15:00,View,co2,452.3,WR4
T1,19:30:00,View,co2,460.4,WR4
T1,19:45:00,View,co2,459.1,WR4
T1,20:00:00,View,co2,455.8,WR4
T1,20:15:00,View,co2,466.2,WR4
T1,20:30:00,View,co2,455.5,WR4
T1,20:45:00,View,co2,471.1,WR4
T1,21:00:00,View,co2,468.6,WR4
T1,21:15:00,View,co2,457.3,WR4
T1,21:30:00,View,co2,467.1,WR4
T1,21:45:00,View,co2,468.3,WR4
T1,22:00:00,View,co2,458.1,WR4
T1,22:15:00,View,co2,469.5,WR4
T1,22:30:00,View,co2,466,WR4
T1,22:45:00,View,co2,465.3,WR4
T1,23:00:00,View,co2,470.1,WR4
T1,23:15:00,View,co2,466.1,WR4
T1,23:30:00,View,co2,461.8,WR4
T1,23:45:00,View,co2,469,WR4
T2,0:00:00,View,co2,467.6,WR4
T2,0:15:00,View,co2,464,WR4
T2,0:30:00,View,co2,473.4,WR4
T2,0:45:00,View,co2,473,WR4
T2,1:00:00,View,co2,472.4,WR4
T2,1:15:00,View,co2,474.2,WR4
T2,1:30:00,View,co2,471.8,WR4
T2,1:45:00,View,co2,475.5,WR4
T2,2:00:00,View,co2,470.6,WR4
T2,2:15:00,View,co2,475.5,WR4
T2,2:30:00,View,co2,468.6,WR4
T2,2:45:00,View,co2,467.1,WR4
T2,3:00:00,View,co2,472.3,WR4
T2,3:15:00,View,co2,467.5,WR4
T2,3:30:00,View,co2,471,WR4
T2,3:45:00,View,co2,468.7,WR4
T2,4:00:00,View,co2,465.8,WR4
T2,4:15:00,View,co2,466.3,WR4
T2,4:30:00,View,co2,467.3,WR4
T2,4:45:00,View,co2,469.1,WR4
T2,5:00:00,View,co2,470.4,WR4
T2,5:15:00,View,co2,467.1,WR4
T2,5:30:00,View,co2,468.5,WR4
T2,5:45:00,View,co2,466.8,WR4
T2,6:00:00,View,co2,469.3,WR4
T2,6:15:00,View,co2,480.2,WR4
T2,6:30:00,View,co2,473.4,WR4
T2,6:45:00,View,co2,493.6,WR4
T2,7:00:00,View,co2,487.7,WR4
T2,7:15:00,View,co2,489.5,WR4
T2,7:30:00,View,co2,491.8,WR4
T2,7:45:00,View,co2,474,WR4
T2,8:00:00,View,co2,483,WR4
T2,8:15:00,View,co2,475.6,WR4
T2,8:30:00,View,co2,477.7,WR4
T2,8:45:00,View,co2,481.9,WR4
T2,9:00:00,View,co2,498.1,WR4
T2,9:15:00,View,co2,541.2,WR4
T2,9:30:00,View,co2,497,WR4
T2,9:45:00,View,co2,480.6,WR4
T2,10:00:00,View,co2,478.2,WR4
T2,10:15:00,View,co2,495.3,WR4
T2,10:30:00,View,co2,475.2,WR4
T2,10:45:00,View,co2,469.4,WR4
T2,11:00:00,View,co2,468.1,WR4
T2,11:15:00,View,co2,495.6,WR4
T2,11:30:00,View,co2,551.8,WR4
T2,11:45:00,View,co2,537.2,WR4
T2,12:00:00,View,co2,521.5,WR4
T2,12:15:00,View,co2,532,WR4
T2,12:30:00,View,co2,517.6,WR4
T2,12:45:00,View,co2,518.3,WR4
T2,13:00:00,View,co2,527.5,WR4
T2,13:15:00,View,co2,525.5,WR4
T2,13:30:00,View,co2,525,WR4
T2,13:45:00,View,co2,526.2,WR4
