Day,Time,Condition,Envir,Reading,PID
T2,18:45:00,Blinds,pm25,0,RR1
T2,19:00:00,Blinds,pm25,0.1,RR1
T2,19:15:00,Blinds,pm25,0,RR1
T2,19:30:00,Blinds,pm25,0,RR1
T2,19:45:00,Blinds,pm25,0.1,RR1
T2,20:00:00,Blinds,pm25,0,RR1
T2,20:15:00,Blinds,pm25,0.1,RR1
T2,20:30:00,Blinds,pm25,0,RR1
T2,20:45:00,Blinds,pm25,0,RR1
T2,21:00:00,Blinds,pm25,0,RR1
T2,21:15:00,Blinds,pm25,0,RR1
T2,21:30:00,Blinds,pm25,0.1,RR1
T2,21:45:00,Blinds,pm25,0.6,RR1
T2,22:00:00,Blinds,pm25,0.7,RR1
T2,22:15:00,Blinds,pm25,1.1,RR1
T2,22:30:00,Blinds,pm25,0.4,RR1
T2,22:45:00,Blinds,pm25,1.1,RR1
T2,23:00:00,Blinds,pm25,0.1,RR1
T2,23:15:00,Blinds,pm25,0,RR1
T2,23:30:00,Blinds,pm25,1,RR1
T2,23:45:00,Blinds,pm25,0.7,RR1
T3,0:00:00,Blinds,pm25,0.2,RR1
T3,0:15:00,Blinds,pm25,0,RR1
T3,0:30:00,Blinds,pm25,0.7,RR1
T3,0:45:00,Blinds,pm25,0.1,RR1
T3,1:00:00,Blinds,pm25,0,RR1
T3,1:15:00,Blinds,pm25,0,RR1
T3,1:30:00,Blinds,pm25,0.4,RR1
T3,1:45:00,Blinds,pm25,0.1,RR1
T3,2:00:00,Blinds,pm25,0,RR1
T3,2:15:00,Blinds,pm25,0.4,RR1
T3,2:30:00,Blinds,pm25,0.2,RR1
T3,2:45:00,Blinds,pm25,0,RR1
T3,3:00:00,Blinds,pm25,0,RR1
T3,3:15:00,Blinds,pm25,0,RR1
T3,3:30:00,Blinds,pm25,0.5,RR1
T3,3:45:00,Blinds,pm25,0,RR1
T3,4:00:00,Blinds,pm25,0.2,RR1
T3,4:15:00,Blinds,pm25,0,RR1
T3,4:30:00,Blinds,pm25,0,RR1
T3,4:45:00,Blinds,pm25,0.1,RR1
T3,5:00:00,Blinds,pm25,0.5,RR1
T3,5:15:00,Blinds,pm25,0.1,RR1
T3,5:30:00,Blinds,pm25,0.1,RR1
T3,5:45:00,Blinds,pm25,0,RR1
T3,6:00:00,Blinds,pm25,0.2,RR1
T3,6:15:00,Blinds,pm25,0.1,RR1
T3,6:30:00,Blinds,pm25,0,RR1
T3,6:45:00,Blinds,pm25,0.6,RR1
T3,7:00:00,Blinds,pm25,0.3,RR1
T3,7:15:00,Blinds,pm25,0.2,RR1
T3,7:30:00,Blinds,pm25,0.2,RR1
T3,7:45:00,Blinds,pm25,0.1,RR1
T3,8:00:00,Blinds,pm25,0.1,RR1
T3,8:15:00,Blinds,pm25,0,RR1
T3,8:30:00,Blinds,pm25,0,RR1
T3,8:45:00,Blinds,pm25,0,RR1
T3,9:00:00,Blinds,pm25,0,RR1
T3,9:15:00,Blinds,pm25,0,RR1
T3,9:30:00,Blinds,pm25,0.4,RR1
T3,9:45:00,Blinds,pm25,0.4,RR1
T3,10:00:00,Blinds,pm25,0,RR1
T3,10:15:00,Blinds,pm25,0,RR1
T3,10:30:00,Blinds,pm25,0,RR1
T3,10:45:00,Blinds,pm25,0,RR1
T3,11:00:00,Blinds,pm25,0,RR1
